,fiyat,oda_sayısı,bulunduğu_kat,ısıtma_tipi,krediye_uygunluk,yapı_durumu,eşya_durumu,site_içerisinde,tipi,brüt_metrekare,binanın_yaşı,binanın_kat_sayısı,kullanım_durumu,yatırıma_uygunluk,ilce
0,39970000,8,18,8,1,2,0,1,4,550,5,2,0,0,0
1,8500000,4,18,0,2,0,0,1,3,300,0,2,0,0,0
2,8750000,3,18,9,1,2,0,1,4,120,5,1,0,1,0
3,2950000,2,21,9,1,2,0,1,0,85,5,3,0,0,0
4,9450000,5,5,9,1,2,1,1,0,170,5,2,2,0,0
5,67000000,8,18,5,1,2,0,1,3,500,5,2,0,0,0
6,3550000,2,21,9,1,2,0,1,0,85,5,2,0,0,0
7,57000000,8,18,5,1,2,0,1,3,450,5,2,2,0,0
8,15300000,5,25,9,1,2,1,1,0,250,5,5,2,0,0
9,13000000,4,5,7,1,2,0,1,0,230,5,2,0,0,0
10,15000000,4,24,8,1,2,0,0,0,220,5,1,2,0,0
11,11990000,4,5,9,1,2,0,1,0,160,5,3,0,0,0
12,24000000,4,18,9,1,2,0,1,3,290,5,2,0,0,0
13,7500000,2,3,9,1,2,1,1,0,130,5,3,0,0,0
14,900000,1,16,0,1,2,0,1,0,344,1,3,1,0,0
15,2995000,2,5,9,1,2,0,1,0,65,5,2,0,0,0
16,8300000,3,5,8,1,2,0,1,0,120,5,3,0,0,0
17,6500000,4,9,9,1,2,0,1,0,198,5,3,0,1,0
18,4500000,3,5,9,1,2,0,1,0,120,5,2,2,1,0
19,15000000,2,18,9,1,2,0,1,4,168,3,1,0,0,0
20,10000000,8,16,16,1,2,0,1,0,400,5,2,1,0,0
21,10000000,3,5,9,1,2,0,1,0,180,5,2,2,0,0
22,2200000,2,9,9,1,0,0,1,0,110,0,4,0,1,1
23,2400000,2,1,9,0,2,0,1,0,95,7,5,1,1,1
24,2550000,2,11,0,0,2,0,1,0,130,2,5,2,0,1
25,2400000,2,2,0,0,2,0,1,0,130,2,4,0,0,1
26,2300000,2,5,9,1,2,0,1,0,130,5,4,2,1,1
27,2350000,2,7,9,1,0,0,1,0,90,0,5,0,0,1
28,2685000,2,12,13,1,2,0,0,0,115,8,13,0,0,1
29,1840000,2,14,9,1,2,0,0,0,105,2,9,2,1,1
